,loss
281,1.7251885
282,0.27271384
283,0.15033908
284,0.05168315
285,0.000442754
286,0.14543448
287,0.00077248877
288,0.008585105
289,0.00095023616
290,0.006110584
291,0.10756956
292,0.007279986
293,0.13650325
294,0.069069
295,0.088320814
296,0.086606786
297,0.17046995
298,0.042922936
299,0.1409551
300,0.11538514
301,0.13265915
302,0.032194506
303,0.020802444
304,0.002006714
305,0.011408139
306,0.07049054
307,0.16350687
308,0.00067534775
309,0.00029136208
310,0.35849705
311,0.26379022
312,6.774525e-05
313,0.0024947724
314,0.13679793
315,0.0808423
316,0.05664714
317,0.0028936327
318,0.053412206
319,0.30381128
320,0.24646461
321,0.11376719
322,0.08393993
323,0.05051425
324,0.00028080115
325,0.0055683996
326,0.05495637
327,0.032050032
328,0.004329578
329,0.09961803
330,0.028248098
331,0.08875918
332,0.00012897942
333,0.046806127
334,0.046157714
335,0.01764369
336,0.015156356
337,0.018867217
338,0.049661484
339,0.0003090265
340,2.1178079
341,0.15139794
342,0.15037315
343,0.15876141
344,0.14351074
345,4.1226063e-05
346,0.55826867
347,0.06425882
348,0.03538803
349,0.15683931
350,0.0677568
351,3.5465138
352,0.10916823
353,0.0030270326
354,0.030972928
355,0.07375337
356,0.01788105
357,0.049143884
358,0.011369621
359,0.28554672
360,0.36620766
361,0.14844549
362,0.09690652
363,0.1855484
364,0.22741497
365,0.1691993
366,7.983577e-05
367,0.1406818
368,0.00018279804
369,0.049406197
370,2.8727472
371,0.007184393
372,2.920428
373,0.09239458
374,0.04355063
375,0.05050131
376,0.20410796
377,0.033049848
378,0.30778366
379,0.00052418426
380,0.0023559101
381,0.03058866
382,0.051022183
383,0.19995973
384,0.15776336
385,0.1480299
386,0.017724892
387,0.29937965
388,0.055654455
389,0.11302729
390,0.11266489
391,0.21092114
392,0.013725852
393,0.05651421
394,0.0029781375
395,0.034887172
396,0.14866073
397,0.06284483
398,0.040076673
399,0.05338196
400,0.19405237
401,0.14211443
402,9.363283
403,0.12492355
404,0.089103535
405,0.11736791
406,0.0569048
407,0.07309746
408,0.052654475
409,0.16639969
410,0.031404775
411,0.04782713
412,0.20845413
413,0.026455253
414,0.13394329
415,0.033105332
416,0.059463758
417,0.045848854
418,0.15338741
419,0.03349957
420,0.13779017
421,0.13482448
422,0.15757218
423,0.12384929
424,0.003821704
425,0.111462966
426,0.048077118
427,0.09970858
428,0.8892888
429,0.015337244
430,0.30345362
431,0.27487442
432,0.038230337
433,0.059332263
434,0.06510478
435,1.3191437e-05
436,0.044223685
437,0.08391668
438,0.01867858
439,0.1938683
440,0.061761986
441,0.07748492
442,0.09468876
443,0.05988913
444,0.31199807
445,0.1865633
446,0.15208957
447,0.0010790247
448,0.13201778
449,0.41178122
450,0.026098657
451,0.018230561
452,0.6697225
453,0.1354765
454,0.18343018
455,0.081898235
456,0.18288463
457,0.055822413
458,0.00819706
459,0.015470211
460,0.029609019
461,0.021440836
462,0.0011807436
463,0.018546583
464,0.062019754
465,0.17298771
466,0.013928516
467,0.28293768
468,0.015180876
469,0.0050117243
470,0.004003475
471,0.09958592
472,0.078228354
473,0.13774267
474,0.0075158565
475,0.08184756
476,0.025583908
477,0.027581388
478,0.1318517
479,0.10382442
480,0.018523935
481,0.012843743
482,0.18634483
483,0.07051858
484,0.07547796
485,0.076034665
486,0.16544381
487,0.08834745
488,0.12620485
489,0.07165672
490,0.070010416
491,0.059092063
492,0.6250262
493,0.10754222
494,0.028765928
495,0.0069603
496,0.037478246
497,0.12285824
498,0.04721895
499,0.00045547527
500,0.22661543
501,0.051388163
502,0.0712888
503,0.08034352
504,0.054657668
505,0.049008377
506,0.18381305
507,0.16901264
508,0.0991566
509,0.09567767
510,0.18585394
511,0.15622243
512,0.1586825
513,0.06971018
514,0.14217734
515,0.030306678
516,0.31836274
517,0.036277022
518,0.057119004
519,0.18172105
520,0.03155076
521,0.07639073
522,0.5048002
523,0.02169676
524,0.066667624
525,0.03472967
526,0.12063036
527,0.36161107
528,0.0012867528
